CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
277,000000000000000100010101,117.50,SI,21
278,000000000000000100010110,112.50,SI,21
279,000000000000000100010111,108.50,SI,20
280,000000000000000100011000,112.50,SI,22
281,000000000000000100011001,110.00,SI,21
282,000000000000000100011010,112.50,SI,21
283,000000000000000100011011,105.00,SI,20
284,000000000000000100011100,112.50,SI,21
285,000000000000000100011101,110.00,SI,20
286,000000000000000100011110,103.50,SI,20
287,000000000000000100011111,98.50,SI,19
288,000000000000000100100000,120.00,SI,23
289,000000000000000100100001,117.50,SI,22
290,000000000000000100100010,120.00,SI,22
291,000000000000000100100011,112.50,SI,21
292,000000000000000100100100,120.00,SI,22
293,000000000000000100100101,117.50,SI,21
294,000000000000000100100110,112.50,SI,21
295,000000000000000100100111,108.50,SI,20
296,000000000000000100101000,120.00,SI,22
297,000000000000000100101001,117.50,SI,21
298,000000000000000100101010,120.00,SI,21
299,000000000000000100101011,112.50,SI,20
300,000000000000000100101100,112.50,SI,21
301,000000000000000100101101,110.00,SI,20
302,000000000000000100101110,112.50,SI,20
303,000000000000000100101111,103.50,SI,19
304,000000000000000100110000,112.50,SI,22
305,000000000000000100110001,110.00,SI,21
306,000000000000000100110010,112.50,SI,21
307,000000000000000100110011,105.00,SI,20
308,000000000000000100110100,112.50,SI,21
309,000000000000000100110101,110.00,SI,20
310,000000000000000100110110,105.00,SI,20
311,000000000000000100110111,101.00,SI,19
312,000000000000000100111000,112.50,SI,21
313,000000000000000100111001,110.00,SI,20
314,000000000000000100111010,112.50,SI,20
315,000000000000000100111011,105.00,SI,19
316,000000000000000100111100,103.50,SI,20
317,000000000000000100111101,101.00,SI,19
318,000000000000000100111110,98.50,SI,19
319,000000000000000100111111,93.50,SI,18
320,000000000000000101000000,120.00,SI,23
321,000000000000000101000001,117.50,SI,22
322,000000000000000101000010,120.00,SI,22
323,000000000000000101000011,112.50,SI,21
324,000000000000000101000100,120.00,SI,22
325,000000000000000101000101,117.50,SI,21
326,000000000000000101000110,112.50,SI,21
327,000000000000000101000111,108.50,SI,20
328,000000000000000101001000,120.00,SI,22
329,000000000000000101001001,117.50,SI,21
330,000000000000000101001010,120.00,SI,21
331,000000000000000101001011,112.50,SI,20
332,000000000000000101001100,112.50,SI,21
333,000000000000000101001101,110.00,SI,20
334,000000000000000101001110,112.50,SI,20
335,000000000000000101001111,103.50,SI,19
336,000000000000000101010000,120.00,SI,22
337,000000000000000101010001,117.50,SI,21
338,000000000000000101010010,120.00,SI,21
339,000000000000000101010011,112.50,SI,20
340,000000000000000101010100,120.00,SI,21
341,000000000000000101010101,117.50,SI,20
342,000000000000000101010110,112.50,SI,20
343,000000000000000101010111,108.50,SI,19
344,000000000000000101011000,112.50,SI,21
345,000000000000000101011001,110.00,SI,20
346,000000000000000101011010,112.50,SI,20
347,000000000000000101011011,105.00,SI,19
348,000000000000000101011100,112.50,SI,20
349,000000000000000101011101,110.00,SI,19
350,000000000000000101011110,103.50,SI,19
351,000000000000000101011111,98.50,SI,18
352,000000000000000101100000,112.50,SI,22
353,000000000000000101100001,110.00,SI,21
354,000000000000000101100010,112.50,SI,21
355,000000000000000101100011,105.00,SI,20
356,000000000000000101100100,112.50,SI,21
357,000000000000000101100101,110.00,SI,20
358,000000000000000101100110,105.00,SI,20
359,000000000000000101100111,101.00,SI,19
360,000000000000000101101000,112.50,SI,21
361,000000000000000101101001,110.00,SI,20
362,000000000000000101101010,112.50,SI,20
363,000000000000000101101011,105.00,SI,19
364,000000000000000101101100,105.00,SI,20
365,000000000000000101101101,102.50,SI,19
366,000000000000000101101110,105.00,SI,19
367,000000000000000101101111,96.00,SI,18
368,000000000000000101110000,112.50,SI,21
369,000000000000000101110001,110.00,SI,20
370,000000000000000101110010,112.50,SI,20
371,000000000000000101110011,105.00,SI,19
372,000000000000000101110100,112.50,SI,20
373,000000000000000101110101,110.00,SI,19
374,000000000000000101110110,105.00,SI,19
375,000000000000000101110111,101.00,SI,18
376,000000000000000101111000,103.50,SI,20
377,000000000000000101111001,101.00,SI,19
378,000000000000000101111010,103.50,SI,19
379,000000000000000101111011,96.00,SI,18
380,000000000000000101111100,98.50,SI,19
381,000000000000000101111101,96.00,SI,18
382,000000000000000101111110,93.50,SI,18
383,000000000000000101111111,88.50,SI,17
384,000000000000000110000000,120.00,SI,23
385,000000000000000110000001,117.50,SI,22
386,000000000000000110000010,120.00,SI,22
